Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
walmart sc imp 4497,1007 red farmer dr,hueytown,al,350231886,flna,2417580,126,0.977709949
walmart sc 1158,2473 hackworth rd,birmingham,al,352141909,flna,279710,127,0.977709949
walmart sc imp 1158,2473 hackworth rd,birmingham,al,352141909,flna,1769706,127,0.977709949
walmart sc 2723,690 highway 78,sumiton,al,351483419,flna,1853771,128,0.977709949
walmart sc imp 2723,690 highway 78,sumiton,al,351483419,flna,1854332,128,0.977709949
walmart sc 1201,890 odum rd,gardendale,al,350714652,flna,878334,129,0.977709949
walmart sc imp 1201,890 odum rd,gardendale,al,350714652,flna,1769711,129,0.977709949
walmart nm 5100,1916 center point pkwy,birmingham,al,352154512,flna,2060606,130,0.977709949
walmart nm imp 5100,1916 center point pkwy,birmingham,al,352154512,flna,2060609,130,0.977709949
walmart nm 4504,312 palisades blvd,birmingham,al,352095148,flna,2264609,131,0.977709949
walmart nm imp 4504,312 palisades blvd,birmingham,al,352095148,flna,2264610,131,0.977709949
walmart nm 4580,1300 montgomery hwy,vestavia hills,al,352162702,flna,2283202,132,0.977709949
walmart nm imp 4580,1300 montgomery hwy,vestavia hills,al,352162702,flna,2283203,132,0.977709949
walmart sc 1101,4538 us highway 231,wetumpka,al,360923333,flna,274539,133,0.977709949
walmart sc imp 1101,4538 us highway 231,wetumpka,al,360923333,flna,1769064,133,0.977709949
walmart sc 4318,145 kelley blvd,millbrook,al,360542200,flna,2271736,134,0.977709949
walmart sc imp 4318,145 kelley blvd,millbrook,al,360542200,flna,2271738,134,0.977709949
maxwell class 6,355 s kelly st,montgomery,al,361125982,flna,42230998,135,0.640786772
maxwell main exchang,355 s kelly st bldg 1090,montgomery,al,361125982,flna,1574350,135,0.525402725
maxwell afb comsy,335 s kelly st bldg 1085,montgomery,al,361125982,flna,1537045,135,0.461592485
walmart sc 0483,1903 cobbs ford rd,prattville,al,360667289,flna,1671041,136,0.718783259
walmart sc imp 483,1903 cobbs ford rd,prattville,al,360667230,flna,1770577,136,0.718783259
walmart sc 5348,851 ann st,montgomery,al,361072800,flna,2235340,137,0.977709949
walmart sc imp 5348,851 ann st,montgomery,al,361072800,flna,2235341,137,0.977709949
walmart sc 0930,3801 eastern blvd,montgomery,al,361167313,flna,1854330,138,0.969202817
walmart sc imp 930,3801 eastern blvd,montgomery,al,361167313,flna,1854331,138,0.969202817
walmart sc 4407,10710 chantilly pkwy,montgomery,al,361177587,flna,2264607,139,0.977709949
walmart sc imp 4407,10710 chantilly pkwy,montgomery,al,361177587,flna,2264608,139,0.977709949
kwik shop 126,602 us highway 231,wetumpka,al,360931231,flna,1191803,140,0.811665177
kwik shop 122,779 us highway 231,wetumpka,al,360931229,flna,1751215,140,0.811665177
walmart nm 4691,8035 vaughn rd,montgomery,al,361166713,flna,42201995,141,0.84827016
walmart nm imp 4691,8035 vaughn rd,montgomery,al,361166713,flna,42201996,141,0.552070654
walmart fuel ctr imp,8035 vaughn rd,montgomery,al,361166713,flna,42246627,141,0.527595727
walmart sc 1057,1300 gilmer ave,tallassee,al,360781026,flna,260684,142,0.977709949
walmart sc imp 1057,1300 gilmer ave,tallassee,al,360781026,flna,1769060,142,0.977709949
walmart nm 4672,1600 federal dr,montgomery,al,361071128,flna,42195955,143,0.977709949
walmart nm imp 4672,1600 federal dr,montgomery,al,361071128,flna,42195956,143,0.977709949
walmart nm 5256,4211 hargrove rd e,tuscaloosa,al,354057702,flna,42181055,144,0.833460394
walmart nm imp 5256,4211 hargrove rd e,tuscaloosa,al,354057702,flna,42181056,144,0.690720598
walmart fuel ctr 52,4211 hargrove rd e,tuscaloosa,al,354057702,flna,42191772,144,0.649439959
walmart sc 715,1501 skyland blvd e,tuscaloosa,al,354054231,flna,1419779,145,0.983407199
